track_artist,track_album_id,track_album_name,playlist_name,playlist_id,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_id,track_name,track_popularity,release_year,genre
Lupe Fiasco,2utMSPHiSIHEg2vb9awgDi,DROGAS Light,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,southern hip hop,0.913,0.646,0,-6.848,1,0.0985,0.0107,0.0,0.33,0.611,114.965,169186,6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),48,2007,Hip-Hop
Lupe Fiasco,0MihD70HInk2rDaChdAdEy,Lupe Fiasco's The Cool,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,southern hip hop,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,289000,6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),48,2007,Hip-Hop
Lupe Fiasco,7rxBmOWHwXL2Nhl8lcgVKm,Jill Scott Collaborations,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,neo soul,0.518,0.753,5,-3.411,0,0.0655,0.0302,0.0,0.301,0.558,81.239,227640,6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),48,2007,Hip-Hop
"Royce Da 5'9""",0sOYErujvWBLfPaYcTboFq,Layers,Contemporary Hip Hop,68y3WoFJMMKDHUIpqCnoM3,southern hip hop,0.598,0.895,8,-4.76,1,0.32,0.0905,0.0,0.132,0.775,139.829,211509,0iULSLlbdVMvBs4HzIaLi9,Hip-Hop,16,2022,Hip-Hop
Mos Def,5Oa2WgO3Jfuw2IKYrZNzTi,The Ecstatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.403,0.742,11,-5.889,0,0.338,0.0498,0.0,0.418,0.717,90.336,274480,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,52,1999,Hip-Hop
Mos Def,2Pt090paTHSNOAbWNW2hPs,Rawkus Records - Best of Decade I 1995-2005 (Explicit Version),90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.721,0.523,0,-4.008,1,0.511,0.0153,0.0,0.31,0.712,115.263,133653,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,52,1999,Hip-Hop
Mos Def,1bJ8NjrARcEA8V1zDOdWhb,The New Danger (Explicit Version),Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,hip pop,0.543,0.73,1,-5.631,1,0.344,0.136,0.0,0.289,0.471,90.729,265787,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,52,1999,Hip-Hop
Mos Def,7rxBmOWHwXL2Nhl8lcgVKm,Jill Scott Collaborations,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,neo soul,0.732,0.39,1,-10.363,1,0.389,0.214,0.0,0.0816,0.339,172.039,256667,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,52,1999,Hip-Hop
Mos Def,5gK2l2LgWY0BA4p9uy27z6,Black On Both Sides,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,neo soul,0.72,0.67,2,-10.224,1,0.132,0.305,0.0,0.0928,0.566,121.342,305280,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,52,1999,Hip-Hop
Sir Mix-A-Lot,3kE6LwvidNi3jpkLreS170,Swass,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,southern hip hop,0.819,0.292,7,-15.114,1,0.49,0.0269,0.0,0.361,0.516,173.055,304880,7yIUQW4kutkoxSWKjU7OPK,Hip Hop Soldier,19,1988,Hip-Hop
Sir Mix-A-Lot,3kE6LwvidNi3jpkLreS170,Swass,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,southern hip hop,0.935,0.599,11,-10.984,0,0.142,0.057,5.4e-05,0.314,0.635,115.058,210640,7yIUQW4kutkoxSWKjU7OPK,Hip Hop Soldier,19,1988,Hip-Hop
Sir Mix-A-Lot,2zsHTEgtUmrDJ3XxHkobBM,Seminar,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,southern hip hop,0.824,0.629,1,-12.128,1,0.432,0.0829,5.86e-06,0.0433,0.661,184.012,286000,7yIUQW4kutkoxSWKjU7OPK,Hip Hop Soldier,19,1988,Hip-Hop
Sir Mix-A-Lot,5ebuKilSgCLSvf0fO0q5bq,Jackass The Movie (The Official Soundtrack),90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,gangster rap,0.936,0.76,1,-7.873,1,0.282,0.00391,3.39e-06,0.0394,0.657,128.479,260867,7yIUQW4kutkoxSWKjU7OPK,Hip Hop Soldier,19,1988,Hip-Hop
BTS,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,dance pop,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,2lATw9ZAVp7ILQcOKPCPqp,Love Yourself 結 'Answer',K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,dance pop,0.734,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.422,126.035,222732,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,2TpvJhw6RYTTn4eDrAb3eJ,MIC Drop (feat. Desiigner) [Steve Aoki Remix],K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,dance pop,0.613,0.842,10,-4.332,0,0.219,0.0157,0.0,0.23,0.645,169.917,238726,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,2FTS6a6DLXMNp8flyA0HGO,Love Yourself 承 'Her',K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,dance pop,0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,223123,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,0ZI6Q1QJSYdeEQPvKzX1XR,Make It Right (feat. Lauv),Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,post-teen pop,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,indie poptimism,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,0ZI6Q1QJSYdeEQPvKzX1XR,Make It Right (feat. Lauv),2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin pop,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,0ZI6Q1QJSYdeEQPvKzX1XR,Make It Right (feat. Lauv),2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin hip hop,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,53dPHVEHHiHZusK0l4q26R,All Night (BTS World Original Soundtrack) [Pt. 3],Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,urban contemporary,0.725,0.706,5,-4.766,1,0.121,0.193,0.0,0.109,0.667,120.042,216874,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,0ZI6Q1QJSYdeEQPvKzX1XR,Make It Right (feat. Lauv),2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,hip pop,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,2TpvJhw6RYTTn4eDrAb3eJ,MIC Drop (feat. Desiigner) [Steve Aoki Remix],Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,hip pop,0.613,0.842,10,-4.332,0,0.219,0.0157,0.0,0.23,0.645,169.917,238726,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,4fkUwOlruyTwQNG1LD6MJX,Make It Right (feat. Lauv) [EDM Remix],Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,big room,0.648,0.741,7,-6.655,1,0.313,0.00351,0.0,0.0932,0.238,106.001,246322,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,1FLcN9j76qlfLYT5KIlK1X,화양연화 The Most Beautiful Moment In Life: Young Forever,K-Crazy Michioso Tunes,37i9dQZF1DWUXxc8Mc6MmJ,pop edm,0.428,0.708,10,-3.551,0,0.168,0.00262,0.0,0.121,0.552,199.827,203430,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,6yRUOoA0Z4jgr6qcKcFAbH,"화양연화 The Most Beautiful Moment In Life, Pt. 1",K-Crazy Michioso Tunes,37i9dQZF1DWUXxc8Mc6MmJ,pop edm,0.486,0.88,5,-3.097,0,0.0706,0.0215,0.0,0.24,0.71,158.043,210987,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,6CqQEpTYDf64ku45E3ry7d,WINGS,K-Crazy Michioso Tunes,37i9dQZF1DWUXxc8Mc6MmJ,pop edm,0.716,0.887,2,-3.802,1,0.0853,0.00402,0.0,0.0566,0.782,101.025,192602,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
BTS,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,K-Crazy Michioso Tunes,37i9dQZF1DWUXxc8Mc6MmJ,pop edm,0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4c9XojqJDu7KNCh8GmNbj5,Hip Hop Phile,54,2014,Hip-Hop
Man Parrish,0A9mRheQlMXT1A125XYgpg,Hip Hop Be Bop,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),1oReEujyWpQv2OX68BVPPA,latin hip hop,0.862,0.639,10,-14.938,0,0.0917,0.376,0.0702,0.162,0.469,111.839,318680,21NALHsloDI31T781jDMFw,Hip Hop Be Bop (Original Version),34,1983,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,293973,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,290573,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.702,0.832,1,-4.964,1,0.318,0.02,2.8e-06,0.189,0.619,92.362,252600,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,4Bql8tIDwUopC8YRyZY4H5,Stillmatic,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.573,0.831,7,-5.586,1,0.433,0.0401,0.0,0.0909,0.766,76.352,277707,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,2EOodwcOWnJRbZA6NYUenm,God's Son,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.837,0.885,6,-3.914,0,0.182,0.103,0.0,0.0666,0.694,95.313,253720,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,3SITIrdryEpRSRvdEpRToQ,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.703,0.687,7,-7.104,1,0.389,0.0332,0.0,0.393,0.461,93.606,235613,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,1H1l1x4y10wp848cBq2Lig,Stillmatic,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.573,0.831,7,-5.586,1,0.433,0.0401,0.0,0.0909,0.766,76.352,277707,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,1uZt3krO6HcWqaN3kxVzyf,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.599,0.861,11,-4.783,0,0.265,0.0128,0.0,0.113,0.613,92.866,228747,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,1uZt3krO6HcWqaN3kxVzyf,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.652,0.754,9,-4.929,0,0.208,0.00616,0.0,0.12,0.429,90.12,285307,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,4oG64fJsDnfS9SZb3Jj1er,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.81,0.5,2,-11.823,1,0.265,0.00119,0.0,0.114,0.336,90.036,209307,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,4oG64fJsDnfS9SZb3Jj1er,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.759,0.693,11,-9.036,1,0.305,0.0297,1.24e-05,0.128,0.698,92.771,252560,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,78Fgb88MY0ECc4GVMejqTg,It Was Written,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.614,0.543,5,-7.178,1,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,3kEtdS2pH6hKcMU9Wioob1,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.823,0.547,4,-6.928,0,0.297,0.0547,0.0,0.229,0.483,77.791,198800,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,78Fgb88MY0ECc4GVMejqTg,It Was Written,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,4UhEjfIRx4tE1XRY21vwNa,I Am...,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.678,0.77,9,-4.399,0,0.222,0.00583,0.0,0.109,0.412,90.0,284000,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,293973,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,3rV1aPkrWyMs6YTvTpSbIY,God's Son,90's Gangster Rap,1g3APxk2mLVNU2TuHCPli0,gangster rap,0.835,0.718,1,-6.405,1,0.232,0.0424,0.0,0.258,0.507,94.387,244253,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,Gangsta Rap/90's Hip-Hop,62spXXfUxBed8nbd5xvH2O,gangster rap,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,290573,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,78Fgb88MY0ECc4GVMejqTg,It Was Written,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,gangster rap,0.752,0.611,11,-8.681,0,0.315,0.21,0.0,0.778,0.746,90.993,279933,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,3kEtdS2pH6hKcMU9Wioob1,Illmatic,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,gangster rap,0.69,0.729,11,-5.819,0,0.221,1.7e-05,0.0431,0.152,0.357,91.376,202107,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,628sghrdUxdjfhevikOgWB,I Am...,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,gangster rap,0.678,0.77,9,-4.399,0,0.222,0.00583,0.0,0.109,0.412,90.0,284000,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,3kEtdS2pH6hKcMU9Wioob1,Illmatic,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,hip pop,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,290573,72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,63,2007,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,293973,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,290573,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.702,0.832,1,-4.964,1,0.318,0.02,2.8e-06,0.189,0.619,92.362,252600,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,4Bql8tIDwUopC8YRyZY4H5,Stillmatic,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.573,0.831,7,-5.586,1,0.433,0.0401,0.0,0.0909,0.766,76.352,277707,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,2EOodwcOWnJRbZA6NYUenm,God's Son,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.837,0.885,6,-3.914,0,0.182,0.103,0.0,0.0666,0.694,95.313,253720,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,3SITIrdryEpRSRvdEpRToQ,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.703,0.687,7,-7.104,1,0.389,0.0332,0.0,0.393,0.461,93.606,235613,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,1H1l1x4y10wp848cBq2Lig,Stillmatic,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.573,0.831,7,-5.586,1,0.433,0.0401,0.0,0.0909,0.766,76.352,277707,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,1uZt3krO6HcWqaN3kxVzyf,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.599,0.861,11,-4.783,0,0.265,0.0128,0.0,0.113,0.613,92.866,228747,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,1uZt3krO6HcWqaN3kxVzyf,Greatest Hits,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,gangster rap,0.652,0.754,9,-4.929,0,0.208,0.00616,0.0,0.12,0.429,90.12,285307,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,4oG64fJsDnfS9SZb3Jj1er,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.81,0.5,2,-11.823,1,0.265,0.00119,0.0,0.114,0.336,90.036,209307,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,4oG64fJsDnfS9SZb3Jj1er,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.759,0.693,11,-9.036,1,0.305,0.0297,1.24e-05,0.128,0.698,92.771,252560,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,78Fgb88MY0ECc4GVMejqTg,It Was Written,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.614,0.543,5,-7.178,1,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,3kEtdS2pH6hKcMU9Wioob1,Illmatic,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.823,0.547,4,-6.928,0,0.297,0.0547,0.0,0.229,0.483,77.791,198800,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,78Fgb88MY0ECc4GVMejqTg,It Was Written,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,4UhEjfIRx4tE1XRY21vwNa,I Am...,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.678,0.77,9,-4.399,0,0.222,0.00583,0.0,0.109,0.412,90.0,284000,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,6oSHgr3TZJPCFshYUfBDqE,Illmatic XX,Oldschool Gangsta Rap 👑,0t9TeyXE2mWe70JT3YwSoH,gangster rap,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,293973,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
Nas,3rV1aPkrWyMs6YTvTpSbIY,God's Son,90's Gangster Rap,1g3APxk2mLVNU2TuHCPli0,gangster rap,0.835,0.718,1,-6.405,1,0.232,0.0424,0.0,0.258,0.507,94.387,244253,7iF9B5dbSOfEeznArGFHhn,Hip Hop Is Dead,38,2006,Hip-Hop
